nom,nature,code_postal,adresse,insee,commune,lon,lat
Lycée Notre-Dame,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69657,72 rue des Jardiniers BP 213 ,69264,Villefranche-sur-Saône,4.72068099561914,45.988526443466725
Lycée ICOF,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,69005,8 avenue Debrousse ,69385,Lyon 5e Arrondissement,4.813896830276697,45.75073498110866
Lycée La Mache,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,69373,75 boulevard Jean XXIII ,69388,Lyon 8e Arrondissement,4.870617453961706,45.73714846838786
Lycée professionnel Saint-Marc,LYCEE PROFESSIONNEL,69287,4 rue Sainte-Hélène ,69382,Lyon 2e Arrondissement,4.828229766470231,45.7553233339019
Lycée ORT,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,69373,133 rue Marius Berliet ,69388,Lyon 8e Arrondissement,4.867663604414776,45.73812520090057
Lycée technologique privé Carrel,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,69006,119 rue Boileau ,69386,Lyon 6e Arrondissement,4.849633864919563,45.766219115761935
Lycée professionnel Saint-Joseph,LYCEE PROFESSIONNEL,69363,327 rue Garibaldi ,69387,Lyon 7e Arrondissement,4.852204163103425,45.747795618359525
Lycée professionnel privé Ateliers d'Apprentissage de l'Industrie,LYCEE PROFESSIONNEL,69120,148 AVENUE FRANKLIN ROOSEVELT 69120 VAULX EN VELIN,69256,Vaulx-en-Velin,4.9352345611918125,45.75494671959502
Lycée professionnel Orsel,LYCEE PROFESSIONNEL,69600,30 rue Orsel ,69149,Oullins-Pierre-Bénite,4.812452703964487,45.71646672088146
Lycée professionnel Japy,LYCEE PROFESSIONNEL,69203,1 place Louis Pradel BP 1152 ,69381,Lyon 1er Arrondissement,4.837567405242126,45.768049352422224
Lycée Aux Lazaristes - La Salle site Croix-Rousse,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69283,1 rue Neyret ,69381,Lyon 1er Arrondissement,4.830230362921921,45.77167247356671
Lycée professionnel la Favorite,LYCEE PROFESSIONNEL,69110,107 rue Commandant Charcot ,69202,Sainte-Foy-lès-Lyon,4.788070124934175,45.74630606948599
Lycée professionnel de la SEPR,LYCEE PROFESSIONNEL,69003,46 rue du professeur Rochaix ,69383,Lyon 3e Arrondissement,4.877238742993634,45.745688241069445
Lycée professionnel privé Saint-Louis - Saint-Bruno,LYCEE PROFESSIONNEL,69201,17 rue des Chartreux ,69381,Lyon 1er Arrondissement,4.823182420663778,45.772071224952
Centre d'enseignement professionnel et d'accueil des jeunes,LYCEE PROFESSIONNEL,69564,CHEMIN DE BERNICOT BP 70 69564 ST GENIS LAVAL CEDEX,69204,Saint-Genis-Laval,4.773520760382818,45.69385219994558
Lycée polyvalent Arnaud Beltrame,LYCEE POLYVALENT,69330,10E rue Jean Jaurès ,69282,Meyzieu,5.013142617950973,45.77013296071417
Ecole secondaire privée IPESS,LYCEE D ENSEIGNEMENT GENERAL,69007,181 avenue Jean Jaurès 69007 LYON,69387,Lyon 7e Arrondissement,4.836840805564323,45.7364373923854
Lycée général privé Acadomia Campus,LYCEE D ENSEIGNEMENT GENERAL,69007,2 rue DU VERCORS 69007 LYON,69387,Lyon 7e Arrondissement,4.826225375510137,45.72519491764442
Section d'enseignement professionnel du Lycée polyvalent privé Jehanne de France,SECTION D ENSEIGNEMENT PROFESSIONNEL,69009,6  RUE DE LA FRATERNELLE 69009 LYON,69389,Lyon 9e Arrondissement,4.803600472461575,45.76931901782648
Lycée professionnel Georges Lamarque,LYCEE PROFESSIONNEL,69144,10 route de Genève BP 27 ,69286,Rillieux-la-Pape,4.882526344086443,45.8037846212662
Lycée Champagnat,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69590,250 rue Chanoine Pavailler BP 40 ,69238,Saint-Symphorien-sur-Coise,4.452242578557498,45.62909091824532
Lycée polyvalent Louis Armand,LYCEE POLYVALENT,69651,"507 avenue du Beaujolais Gleizé, CS 60402 ",69264,Villefranche-sur-Saône,4.705849561137372,45.99919083640924
Lycée Don Bosco,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,69322,12 montée Saint-Laurent ,69385,Lyon 5e Arrondissement,4.819326031127019,45.751858101062915
Lycée professionnel Saint-Charles,LYCEE PROFESSIONNEL,69140,2831 route de Strasbourg ,69286,Rillieux-la-Pape,4.895287160774396,45.82026918705394
Lycée professionnel de coiffure de Lyon,LYCEE PROFESSIONNEL,69004,28-30 rue Valentin Couturier ,69384,Lyon 4e Arrondissement,4.827034399124273,45.77638015228251
Lycée professionnel de coiffure,LYCEE PROFESSIONNEL,69001,22 rue d'Algérie ,69381,Lyon 1er Arrondissement,4.832548510725717,45.767560832888755
Peyrefitte esthétique,LYCEE PROFESSIONNEL,69002,21-24 quai Tilsitt ,69382,Lyon 2e Arrondissement,4.826392332198185,45.75590795368299
Lycée Élie Vignal,COLLEGE SPECIALISE,69300,18 rue de Margnolles ,69034,Caluire-et-Cuire,4.83536240798309,45.784119189374536
Section d'enseignement professionnel du Lycée polyvalent  Colonel Arnaud Beltrame,SECTION D ENSEIGNEMENT PROFESSIONNEL,69330,10 E rue Jean Jaurès 69330 MEYZIEU,69282,Meyzieu,5.013142617950973,45.77013296071417
Lycée professionnel Marc Seguin,LYCEE PROFESSIONNEL,69694,20 boulevard Marcel Sembat ,69259,Vénissieux,4.882702509812829,45.71648783527622
Section d'enseignement professionnel du Lycée polyvalent François Rabelais,SECTION D ENSEIGNEMENT PROFESSIONNEL,69571,Chemin DU DODIN BP 24 69571 DARDILLY CEDEX,69072,Dardilly,4.761710242327352,45.81817277980965
Lycée polyvalent Camus-Sermenaz,LYCEE POLYVALENT,69140,2179 avenue de l'Europe ,69286,Rillieux-la-Pape,4.909636247775357,45.819904915077316
Section d'enseignement professionnel du Lycée polyvalent Camus-Sermenaz,SECTION D ENSEIGNEMENT PROFESSIONNEL,69140,2179 avenue de l'Europe 69140 RILLIEUX LA PAPE,69286,Rillieux-la-Pape,4.909636247775357,45.819904915077316
Eden School Lyon,ECOLE PROFESSIONNELLE SPECIALISEE,69100,31 place Jules Grandclément ,69266,Villeurbanne,4.873837868852141,45.76642944540066
Lycée horticole et paysager Lyon Pressin Don Bosco,LYCEE PROFESSIONNEL,69230,81 chemin de Beaunant ,69204,Saint-Genis-Laval,4.778961436331569,45.70896416250624
Lycée Jean Monnet,LYCEE PROFESSIONNEL,69590,304 boulevard de la Bardière ,69238,Saint-Symphorien-sur-Coise,4.461010997108385,45.62956373222764
Lycée polyvalent Jacques Brel,LYCEE POLYVALENT,69200,2 rue Albert Jacquard ,69259,Vénissieux,4.8806795919347365,45.694775921721615
Lycée polyvalent Charlie Chaplin,LYCEE POLYVALENT,69153,373 avenue Jean Jaurès CS 50701 ,69275,Décines-Charpieu,4.97569640166434,45.77263437420881
Lycée La Martinière Monplaisir,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69372,41 rue Antoine Lumière ,69388,Lyon 8e Arrondissement,4.867789437654129,45.74013626901012
Lycée professionnel André Cuzin,LYCEE PROFESSIONNEL,69300,42 chemin de Crépieux ,69034,Caluire-et-Cuire,4.856604301451287,45.800999216336436
Lycée Jean-Paul Sartre,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69675,93 avenue François Mitterrand ,69029,Bron,4.920177446026666,45.73722413510662
Ecole technique privée La Fabrique - Académie de Mécanique,LYCEE PROFESSIONNEL,69400,847 route DE FRANS 69400 VILLEFRANCHE SUR SAONE,69264,Villefranche-sur-Saône,4.732349281177441,45.9849204759172
Lycée professionnel les Canuts,LYCEE PROFESSIONNEL,69120,2 rue Ho-Chi-Minh ,69256,Vaulx-en-Velin,4.921146595554634,45.77943682089088
Lycée professionnel François Cevert,LYCEE PROFESSIONNEL,69132,104 chemin de la Sauvegarde BP 178 ,69081,Écully,4.788026856753198,45.78358574046549
Lycée professionnel Fernand Forest,LYCEE PROFESSIONNEL,69800,9 impasse Jacques Brel ,69290,Saint-Priest,4.948453608274266,45.68680986727376
Ecole professionnelle privée Atelier d'Apprentissage de Gorge de Loup,LYCEE PROFESSIONNEL,69009,105  AVENUE SIDOINE APOLLINAIRE 69009 LYON,69389,Lyon 9e Arrondissement,4.7976971444584136,45.76731276063197
Section d'enseignement professionnel du Lycée polyvalent Aragon-Picasso,SECTION D ENSEIGNEMENT PROFESSIONNEL,69700,12 chemin DE LA COTE A CAILLOUX 69700 GIVORS,69091,Givors,4.76035926177761,45.60134003688475
Lycée Notre-Dame de Bel Air,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69170,5 avenue des Belges ,69243,Tarare,4.438703202925955,45.89082969906824
Ecole professionnelle privée Académie d'Art Dentaire Lyon,LYCEE PROFESSIONNEL,69365,181 avenue Jean Jaurès BP 7086 69365 LYON CEDEX 07,69387,Lyon 7e Arrondissement,4.836840805564323,45.7364373923854
Lycée polyvalent Aragon-Picasso,LYCEE POLYVALENT,69700,12 chemin de la Côte à Cailloux ,69091,Givors,4.76035926177761,45.60134003688475
Lycée professionnel hôtelier la Vidaude,LYCEE PROFESSIONNEL,69230,Chemin de la Vidaude ,69204,Saint-Genis-Laval,4.779588745705091,45.69201903446252
Lycée professionnel Aux Lazaristes - La Salle,LYCEE PROFESSIONNEL,69283,1 rue Neyret ,69381,Lyon 1er Arrondissement,4.830230362921921,45.77167247356671
Lycée professionnel Don Bosco,LYCEE PROFESSIONNEL,69322,12 montée Saint-Laurent ,69385,Lyon 5e Arrondissement,4.819326031127019,45.751858101062915
Lycée professionnel privé Carrel,LYCEE PROFESSIONNEL,69006,119 rue Boileau ,69386,Lyon 6e Arrondissement,4.849633864919563,45.766219115761935
Lycée professionnel La Mache,LYCEE PROFESSIONNEL,69373,75 boulevard Jean XXIII ,69388,Lyon 8e Arrondissement,4.870617453961706,45.73714846838786
Lycée professionnel Notre-Dame,LYCEE PROFESSIONNEL,69657,72 rue des Jardiniers BP 213 ,69264,Villefranche-sur-Saône,4.72068099561914,45.988526443466725
Lycée professionnel ORT,LYCEE PROFESSIONNEL,69373,133 rue Marius Berliet ,69388,Lyon 8e Arrondissement,4.867663604414776,45.73812520090057
Cité scolaire internationale,LYCEE D ENSEIGNEMENT GENERAL,69361,2 place de Montréal ,69387,Lyon 7e Arrondissement,4.821920579586814,45.72830363050331
Lycée Condorcet,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69802,29 rue Edmond Rostand BP 261 ,69290,Saint-Priest,4.941858251293537,45.69417665608742
Section d'enseignement professionnel du Lycée polyvalent Hector Guimard,SECTION D ENSEIGNEMENT PROFESSIONNEL,69365,23 rue CLAUDE VEYRON 69365 LYON CEDEX 07,69387,Lyon 7e Arrondissement,4.857929994808795,45.74567026209121
Lycée polyvalent François Rabelais,LYCEE POLYVALENT,69571,Chemin du Dodin BP 24 ,69072,Dardilly,4.761710242327352,45.81817277980965
Lycée Blaise Pascal,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69260,2 avenue Bergeron ,69044,Charbonnières-les-Bains,4.742564126043531,45.77821988232572
Lycée polyvalent François Mansart,LYCEE POLYVALENT,69240,7 rue Jacquard BP 70 ,69248,Thizy-les-Bourgs,4.312657072592858,46.02471434450935
Lycée La Xavière,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69008,252 route de Vienne ,69388,Lyon 8e Arrondissement,4.853677610624295,45.72785704420177
Lycée Robert Doisneau,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69511,5 rue du Lycée BP 42 ,69256,Vaulx-en-Velin,4.918619883571236,45.77659199409946
Lycée René Descartes,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69230,145 avenue de Gadagne ,69204,Saint-Genis-Laval,4.784732489578301,45.69047129788534
Lycée polyvalent Aiguerande,LYCEE POLYVALENT,69823,2 place Georges Dutrève BP 50211 ,69019,Belleville-en-Beaujolais,4.746595498300483,46.10384236563821
Section d'enseignement professionnel du Lycée polyvalent Claude Bernard,SECTION D ENSEIGNEMENT PROFESSIONNEL,69665,234 rue PHILIPPE HERON BP 475 69665 VILLEFRANCHE SUR SAONE CEDEX,69264,Villefranche-sur-Saône,4.712028447764922,45.98934570179681
Lycée polyvalent Jehanne de France,LYCEE POLYVALENT,69009,6 rue de la Fraternelle ,69389,Lyon 9e Arrondissement,4.803600472461575,45.76931901782648
Section d'enseignement professionnel du Lycée polyvalent Aiguerande,SECTION D ENSEIGNEMENT PROFESSIONNEL,69220,Place GEORGES DUTREVE BP 50211 69220 BELLEVILLE EN BEAUJOLAIS,69019,Belleville-en-Beaujolais,4.746595498300483,46.10384236563821
Section d'enseignement professionnel du Lycée polyvalent Edouard Branly,SECTION D ENSEIGNEMENT PROFESSIONNEL,69322,25 rue DE TOURVIELLE 69322 LYON CEDEX 05,69385,Lyon 5e Arrondissement,4.791799503028346,45.75308603804028
Ecole secondaire générale et professionnelle privée Academy OL,LYCEE POLYVALENT,69330,8 rue MELINA MERCOURI 69330 MEYZIEU,69282,Meyzieu,5.010978328995216,45.76679273396769
Lycée Rosa Parks,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69582,13 rue Pollet BP 10124 ,69143,Neuville-sur-Saône,4.84674312266278,45.87649688889654
Lycée général et technologique privé Al Kindi,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69150,17 rue SULLY 69150 DECINES CHARPIEU,69275,Décines-Charpieu,4.975825350229936,45.7706972596651
Section d'enseignement professionnel du Lycée polyvalent Charlie Chaplin,SECTION D ENSEIGNEMENT PROFESSIONNEL,69153,373 avenue Jean Jaurès 69153 DECINES CHARPIEU CEDEX,69275,Décines-Charpieu,4.97569640166434,45.77263437420881
Ecole professionnelle privée ELEA Presqu'île,LYCEE PROFESSIONNEL,69005,41 quai FULCHIRON 69005 LYON,69385,Lyon 5e Arrondissement,4.821566873893875,45.75192100858133
Lycée Saint-Charles,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69140,2831 route de Strasbourg ,69286,Rillieux-la-Pape,4.895287160774396,45.82026918705394
Ecole secondaire privée International School Of Lyon,LYCEE D ENSEIGNEMENT GENERAL,69110,80 CHEMIN DU GRAND ROULE 69110 STE FOY LES LYON,69202,Sainte-Foy-lès-Lyon,4.807272861544385,45.72963109506722
Section d'enseignement professionnel du Lycée polyvalent Jacques Brel,SECTION D ENSEIGNEMENT PROFESSIONNEL,69200,2 rue ALBERT JACQUARD 69200 VENISSIEUX,69259,Vénissieux,4.8806795919347365,45.694775921721615
Lycée Beth Hanna,LYCEE D ENSEIGNEMENT GENERAL,69100,293 rue Francis de Pressensé ,69266,Villeurbanne,4.897064879003308,45.76849935704521
Lycée Germaine Tillion,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,69210,500 allée de Grands Champs ,69171,Sain-Bel,4.598478269340394,45.823700781199825
